time,frame_type,path_id,frame_size,ack_delay,acked_ranges,largest_acked,destination_connection_id,mp_ack_ranges,relative_time,time_bucket
12428.511,mp_ack,0,16,0.018,1,0,,0.0,12.4206356786,11
12458.092,mp_ack,0,16,0.016,1,0,,0.0,12.4502166786,11
12483.273,mp_ack,0,16,0.029,1,0,,0.0,12.475397678599998,11
12506.821,mp_ack,0,16,0.028,1,0,,0.0,12.498945678599998,11
12532.369,mp_ack,0,16,0.016,1,0,,0.0,12.524493678599999,11
12563.516,mp_ack,0,16,0.024,1,0,,0.0,12.5556406786,11
12591.749,mp_ack,0,16,0.021,1,0,,0.0,12.5838736786,11
12619.665,mp_ack,0,16,0.022,1,0,,0.0,12.611789678600001,11
12645.306,mp_ack,0,16,0.021,1,0,,0.0,12.6374306786,11
12671.007,mp_ack,0,16,0.017,1,0,,0.0,12.6631316786,11
12697.644,mp_ack,0,16,0.017,1,0,,0.0,12.6897686786,11
12721.038,mp_ack,0,16,0.022,1,0,,0.0,12.7131626786,11
12744.316,mp_ack,0,16,0.021,1,0,,0.0,12.7364406786,11
12778.383,mp_ack,0,16,0.027,1,0,,0.0,12.7705076786,11
12803.179,mp_ack,0,16,0.023,1,0,,0.0,12.7953036786,11
12831.098,mp_ack,0,16,0.031,1,0,,0.0,12.823222678599999,11
12853.047,mp_ack,0,16,0.017,1,0,,0.0,12.8451716786,11
12881.009,mp_ack,0,16,0.033,1,0,,0.0,12.873133678599999,11
